time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,8.59108565229046e-18,8.318282294372416e-18,2.73335385178203e-19,5.281282748314246e-19,2.508552799294306e-18,6.224598464775068e-19,1.2537164307155835e-18,6.799832179376997e-19,4.112315424726142e-18,2.6637897301572705e-18,3.231925776547951e-18,8.521400560518354e-20,1.3797509554907544e-18,2.2635434751982663e-17,2.2163296791617077e-13,7.5 mg
0.0,8.59108565229046e-18,8.318282294372416e-18,2.73335385178203e-19,5.281282748314246e-19,2.508552799294306e-18,6.224598464775068e-19,1.2537164307155835e-18,6.799832179376997e-19,4.112315424726142e-18,2.6637897301572705e-18,3.231925776547951e-18,8.521400560518354e-20,1.3797509554907544e-18,2.2635434751982663e-17,2.2163296791617077e-13,7.5 mg
0.5,1.3356150182445541e-9,1.2753957088070772e-9,4.231301172174762e-11,7.232389284161574e-11,3.587438703976597e-10,8.935958072834561e-11,1.0891842039229078e-10,1.0540173786076484e-10,6.593566693709959e-10,4.1864981789655763e-10,5.046189115709114e-10,1.3273797924267319e-11,2.1754121946762e-10,3.4755412133947955e-9,0.01003388287677176,7.5 mg
0.5,1.3356150182445541e-9,1.2753957088070772e-9,4.231301172174762e-11,7.232389284161574e-11,3.587438703976597e-10,8.935958072834561e-11,1.0891842039229078e-10,1.0540173786076484e-10,6.593566693709959e-10,4.1864981789655763e-10,5.046189115709114e-10,1.3273797924267319e-11,2.1754121946762e-10,3.4755412133947955e-9,0.01003388287677176,7.5 mg
0.99,7.502583452500362e-9,7.184142925653719e-9,2.2940384829630233e-10,4.216136639946564e-10,2.086879034017011e-9,5.086749672455689e-10,8.758065067336097e-10,5.703757308030513e-10,3.7023690311979535e-9,2.2925408058769825e-9,2.7353062231684126e-9,7.308191550003833e-11,1.2062638132304111e-9,1.9670101839861496e-8,0.009723650472766993,7.5 mg
1.99,1.9766580053879007e-8,1.931386137796759e-8,5.90963518502222e-10,1.1214494112074144e-9,5.587732173414072e-9,1.3438698767275049e-9,2.5913044296564157e-9,1.4663091669235268e-9,9.297597148796073e-9,5.942354214354042e-9,7.05140625126642e-9,1.9002754489967316e-10,3.1065273759084974e-9,5.3273569648323315e-8,0.009424786445599636,7.5 mg
2.99,3.1861056382463124e-8,3.140761423422305e-8,9.549237019415833e-10,1.7633985255345505e-9,8.812265933166598e-9,2.1114954248991793e-9,4.137779896193415e-9,2.3344566652859383e-9,1.5814352736858143e-8,9.823008200254992e-9,1.1407295853424905e-8,3.1264128457913723e-10,5.2134787733334e-9,8.752816234426836e-8,0.009154269894794951,7.5 mg
3.99,4.3147744359175515e-8,4.335997144193009e-8,1.297762446282625e-9,2.3861311475924497e-9,1.193651203764197e-8,2.854590254557207e-9,5.638501954676767e-9,3.154037927918077e-9,2.1419338797336095e-8,1.345548742782379e-8,1.5515903962391913e-8,4.2810690966358127e-10,7.118592243666959e-9,1.212297305523961e-7,0.008900112535181888,7.5 mg
4.99,5.408751085198138e-8,5.526024528297049e-8,1.6328540840249907e-9,2.9926457962588138e-9,1.498193612204504e-8,3.5776956014000805e-9,7.0997794702483275e-9,3.951557488890895e-9,2.684719342447306e-8,1.701985143603514e-8,1.953868993039143e-8,5.415477411644775e-10,8.968672459933602e-9,1.5467275154512647e-7,0.008657567803896125,7.5 mg
5.99,6.470487801538435e-8,6.704963135303026e-8,1.959554719090857e-9,3.5835954638695653e-9,1.7951583724318967e-8,4.281645788455908e-9,8.523305879282502e-9,4.727535453007197e-9,3.212484437271821e-8,2.050988810071787e-8,2.3466710104284335e-8,6.526520459329609e-10,1.0772521338156357e-8,1.8777001158409805e-7,0.008424420012538425,7.5 mg
6.99,7.501636390358354e-8,7.858729798203109e-8,2.2775355319963658e-9,4.159493629795816e-9,2.0847828170858447e-8,4.967109535088372e-9,9.91049932173536e-9,5.482488424779219e-9,3.72353281644664e-8,2.3888709947007915e-8,2.7294161571787978e-8,7.605320187143184e-10,1.2504684392097888e-8,2.1976953570146398e-7,0.008199368560063185,7.5 mg
7.99,8.503447796674016e-8,8.990235312279277e-8,2.5867297619696953e-9,4.7207832064685095e-9,2.3672679504534507e-8,5.634663023530891e-9,1.126245060868416e-8,6.216817636321193e-9,4.220654469391259e-8,2.7178887266367515e-8,3.101911396252371e-8,8.65592250214638e-10,1.4191961350177477e-8,2.5109869882392124e-7,0.00798151705992378,7.5 mg
8.99,9.476925986573256e-8,1.0094455354805975e-7,2.8872028161177335e-9,5.267858753869215e-9,2.6427933855718855e-8,6.284824672486916e-9,1.258021378151963e-8,6.930978994834666e-9,4.703702207351677e-8,3.0372764196343436e-8,3.4641087641641834e-8,9.676455189480237e-10,1.58294111499781e-8,2.8153392383168545e-7,0.007770194965100962,7.5 mg
