names,values
tdouble,30.0
tdouble_neg,30.0
tau,1.0
DAR,4.0
IC50_Payload,0.00954
Emax_Payload,0.201
k_PL,0.82
Rcopies,200000.0
k_deg,6.221399006947674
k_rec,0.5942702540445808
k_endo,0.5751662852868111
Kon,2070.0
Kd,0.00074
k_out,32.32
k_in,46.08
k_lys,2.4
V_medium,0.0001
Nmax,4.0e6
