names,values
tdouble,30.0
tdouble_neg,30.0
tau,18.16
DAR,6.8
IC50_Payload,0.002
Emax_Payload,0.032
k_PL,0.02
Rcopies,200000.0
k_deg,6.22
k_rec,0.594
k_endo,0.575
Kon,2070.0
Kd,0.0003
k_out,32.32
k_in,27.6
k_lys,2.4
V_medium,0.0001
Nmax,4.0e6
