time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
-0.009999999999810603,8.031784290952535e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952535e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952533e-24,8.031784290952536e-24,8.031784290952535e-24,8.031784290952536e-24,8.031784290952535e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,8.031784290952536e-24,2.9940085400637795e-63,1.67717650381107e-49,8.141534587486265e-55,1.8301102041561375e-36,8.0
-0.009999998105845547,8.032532510635218e-20,8.032532510635219e-20,8.032532510635218e-20,8.032532510635221e-20,8.03253251063522e-20,8.03253251063522e-20,8.032532510635218e-20,8.032532510635218e-20,8.03253251063522e-20,8.032532510635219e-20,8.032532510635218e-20,8.032532510635219e-20,8.032532510635219e-20,8.032532510635224e-20,8.032532510635216e-20,8.032532510635216e-20,8.032532510635221e-20,8.032532510635219e-20,8.032532510635219e-20,2.9942995692164784e-47,1.677339532121346e-37,8.142403648920581e-43,1.8302881009068313e-28,8.0
-0.009999979166194991,8.834616208332003e-19,8.834616208332028e-19,8.834616208331968e-19,8.83461620833197e-19,8.834616208331978e-19,8.834616208331974e-19,8.834616208331976e-19,8.83461620833197e-19,8.834616208332013e-19,8.834616208331993e-19,8.834616208331997e-19,8.834616208331967e-19,8.834616208331978e-19,8.83461620833213e-19,8.834616208331982e-19,8.834616208331967e-19,8.834616208331967e-19,8.834616208331967e-19,8.834616208331965e-19,1.043430263044732e-43,8.756691135257507e-35,4.25103997909782e-40,1.421378926369883e-26,8.0
-0.009999896758043329,4.3773234994725085e-18,4.377323499472718e-18,4.377323499472174e-18,4.377323499472211e-18,4.377323499472242e-18,4.3773234994722034e-18,4.377323499472248e-18,4.377323499472202e-18,4.3773234994725586e-18,4.377323499472382e-18,4.377323499472432e-18,4.377323499472154e-18,4.377323499472266e-18,4.37732349947362e-18,4.377323499472292e-18,4.37732349947215e-18,4.377323499472149e-18,4.377323499472149e-18,4.377323499472146e-18,4.0541584583183656e-41,7.828684666431222e-33,3.8013379911606815e-38,2.942705352381593e-25,8.0
-0.009999691756425027,1.3064299975543581e-17,1.3064299975548215e-17,1.3064299975536168e-17,1.3064299975536948e-17,1.306429997553763e-17,1.3064299975536785e-17,1.3064299975537785e-17,1.3064299975536792e-17,1.3064299975544669e-17,1.3064299975540749e-17,1.3064299975541881e-17,1.306429997553568e-17,1.3064299975538177e-17,1.3064299975568214e-17,1.3064299975538795e-17,1.3064299975535629e-17,1.3064299975535581e-17,1.3064299975535575e-17,1.3064299975535517e-17,2.2861644533692034e-39,1.736762699207486e-31,8.436716217027395e-37,2.4853347052560315e-24,8.0
-0.009999285510182246,3.0260139658847035e-17,3.0260139658899056e-17,3.0260139658763736e-17,3.026013965877247e-17,3.026013965878013e-17,3.0260139658770626e-17,3.0260139658781873e-17,3.0260139658770755e-17,3.026013965885919e-17,3.0260139658815184e-17,3.0260139658827905e-17,3.02601396587582e-17,3.0260139658786305e-17,3.0260139659123697e-17,3.026013965879327e-17,3.026013965875767e-17,3.0260139658757086e-17,3.026013965875708e-17,3.026013965875642e-17,5.286921389624122e-38,1.9516407027288596e-30,9.487588742685212e-36,1.3130632547649129e-23,8.0
-0.00999853217564473,6.208117679328285e-17,6.20811767937094e-17,6.208117679259978e-17,6.208117679267137e-17,6.208117679273418e-17,6.208117679265622e-17,6.20811767927485e-17,6.208117679265733e-17,6.208117679338249e-17,6.208117679302169e-17,6.208117679312593e-17,6.208117679255438e-17,6.208117679278483e-17,6.208117679555139e-17,6.208117679284196e-17,6.208117679255005e-17,6.208117679254518e-17,6.208117679254521e-17,6.208117679253978e-17,8.293801657170804e-37,1.6012832744523012e-29,7.794654304134606e-35,5.508528406130208e-23,8.0
-0.00999703098076045,1.2523479147439347e-16,1.252347914778578e-16,1.2523479146884593e-16,1.2523479146942725e-16,1.252347914699374e-16,1.252347914693042e-16,1.2523479147005378e-16,1.2523479146931328e-16,1.2523479147520267e-16,1.2523479147227242e-16,1.2523479147311892e-16,1.252347914684771e-16,1.252347914703487e-16,1.2523479149281752e-16,1.2523479147081286e-16,1.2523479146844203e-16,1.2523479146840242e-16,1.2523479146840274e-16,1.2523479146835854e-16,1.338993591820313e-35,1.3020800967445458e-28,6.35547834510037e-34,2.247234769175347e-22,8.0
-0.009993944568107975,2.5400863867714367e-16,2.540086387063699e-16,2.540086386303434e-16,2.5400863863524747e-16,2.5400863863955095e-16,2.540086386342095e-16,2.540086386405329e-16,2.5400863863428595e-16,2.5400863868397023e-16,2.540086386592502e-16,2.5400863866639135e-16,2.5400863862723166e-16,2.540086386430213e-16,2.540086388325737e-16,2.5400863864693696e-16,2.5400863862693613e-16,2.540086386266015e-16,2.5400863862660427e-16,2.5400863862623143e-16,2.313370488778845e-34,1.101285588017625e-27,5.406141689355604e-33,9.32394978869492e-22,8.0
-0.0099908581554555,3.8135576945634124e-16,3.8135576955005713e-16,3.8135576930627456e-16,3.813557693219995e-16,3.813557693357989e-16,3.8135576931867116e-16,3.813557693389475e-16,3.8135576931891645e-16,3.813557694782314e-16,3.8135576939896557e-16,3.8135576942186403e-16,3.813557692962964e-16,3.813557693469268e-16,3.8135576995473503e-16,3.813557693594827e-16,3.8135576929534903e-16,3.8135576929427574e-16,3.8135576929428476e-16,3.8135576929308914e-16,9.899890164139926e-34,3.5372117348975194e-27,1.7428341359471503e-32,2.1215379620844494e-21,8.0
-0.009987771742803023,5.072911185606174e-16,5.072911187754802e-16,5.072911182165627e-16,5.072911182526151e-16,5.072911182842528e-16,5.072911182449842e-16,5.072911182914715e-16,5.072911182455466e-16,5.072911186108061e-16,5.072911184290744e-16,5.072911184815733e-16,5.072911181936859e-16,5.072911183097656e-16,5.072911197032791e-16,5.072911183385525e-16,5.072911181915139e-16,5.072911181890531e-16,5.072911181890739e-16,5.072911181863327e-16,2.818178534754654e-33,8.122690639959087e-27,4.016387301359949e-32,3.790128592232431e-21,8.0
-0.009980894919283403,7.828978514478383e-16,7.82897852240948e-16,7.828978501779025e-16,7.828978503109779e-16,7.828978504277574e-16,7.828978502828106e-16,7.828978504544026e-16,7.828978502848872e-16,7.828978516331129e-16,7.828978509623151e-16,7.82897851156096e-16,7.828978500934616e-16,7.828978505219297e-16,7.828978556655781e-16,7.828978506281851e-16,7.828978500854438e-16,7.828978500763617e-16,7.828978500764382e-16,7.828978500663196e-16,1.5613338712168332e-32,3.010444978426997e-26,1.5020895744121823e-31,9.220047250377561e-21,8.0
-0.009974018095763783,1.051735669750004e-15,1.0517356716877748e-15,1.051735666647375e-15,1.0517356669725023e-15,1.0517356672578162e-15,1.0517356669036845e-15,1.0517356673229157e-15,1.0517356669087582e-15,1.0517356702027217e-15,1.0517356685638393e-15,1.0517356690372822e-15,1.051735666441069e-15,1.0517356674878963e-15,1.0517356800547533e-15,1.0517356677474994e-15,1.0517356664214814e-15,1.0517356663992903e-15,1.0517356663994787e-15,1.0517356663747564e-15,4.962026932325745e-32,7.381854944817835e-26,3.712996749382527e-31,1.699706464912362e-20,8.0
