time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
-0.009999999999810603,3.5139056273777985e-24,3.513905627377799e-24,3.513905627377799e-24,3.5139056273778e-24,3.513905627377799e-24,3.5139056273778e-24,3.5139056273778e-24,3.5139056273778e-24,3.513905627377798e-24,3.5139056273778e-24,3.513905627377799e-24,3.513905627377799e-24,3.513905627377799e-24,3.5139056273778e-24,3.513905627377799e-24,3.513905627377799e-24,3.5139056273778e-24,3.513905627377799e-24,3.5139056273778e-24,8.355770354895697e-64,4.680715342974143e-50,7.695512233495054e-58,5.107527378580626e-37,1.8
-0.009999998105845547,3.514233834135425e-20,3.514233834135425e-20,3.5142338341354254e-20,3.5142338341354266e-20,3.514233834135426e-20,3.514233834135426e-20,3.5142338341354254e-20,3.514233834135425e-20,3.514233834135426e-20,3.5142338341354254e-20,3.5142338341354254e-20,3.514233834135426e-20,3.514233834135426e-20,3.514233834135426e-20,3.5142338341354254e-20,3.514233834135424e-20,3.514233834135427e-20,3.5142338341354254e-20,3.5142338341354254e-20,8.356604958616256e-48,4.681182870114802e-38,7.727081666436835e-46,5.108037544732584e-29,1.8
-0.009999979166194991,3.8651512753321644e-19,3.865151275332165e-19,3.865151275332166e-19,3.865151275332165e-19,3.865151275332166e-19,3.8651512753321664e-19,3.865151275332166e-19,3.8651512753321654e-19,3.865151275332166e-19,3.865151275332166e-19,3.865151275332166e-19,3.865151275332166e-19,3.865151275332166e-19,3.8651512753321654e-19,3.8651512753321654e-19,3.865151275332166e-19,3.865151275332167e-19,3.865151275332166e-19,3.8651512753321654e-19,2.912089033625806e-44,2.4438877815960097e-35,4.125311742964501e-43,3.966899117069285e-27,1.8
-0.00999989675805227,1.9150927023618416e-18,1.9150927023618416e-18,1.9150927023618416e-18,1.915092702361842e-18,1.9150927023618416e-18,1.915092702361842e-18,1.9150927023618413e-18,1.9150927023618413e-18,1.915092702361842e-18,1.9150927023618413e-18,1.9150927023618416e-18,1.9150927023618416e-18,1.915092702361842e-18,1.9150927023618416e-18,1.915092702361842e-18,1.9150927023618413e-18,1.9150927023618424e-18,1.9150927023618416e-18,1.9150927023618424e-18,1.1315344083971074e-41,2.1850224045726517e-33,4.009472528864243e-41,8.213229185166397e-26,1.8
-0.00999969175644301,5.715747748736859e-18,5.71574774873686e-18,5.715747748736859e-18,5.715747748736861e-18,5.71574774873686e-18,5.715747748736859e-18,5.715747748736859e-18,5.715747748736859e-18,5.715747748736859e-18,5.715747748736859e-18,5.7157477487368586e-18,5.715747748736859e-18,5.715747748736861e-18,5.71574774873686e-18,5.715747748736859e-18,5.715747748736858e-18,5.715747748736862e-18,5.71574774873686e-18,5.71574774873686e-18,6.38154001185269e-40,4.847966881699639e-32,1.0322831016798793e-39,6.93756383767671e-25,1.8
-0.009999285510206181,1.3239427752326835e-17,1.3239427752326838e-17,1.3239427752326837e-17,1.3239427752326841e-17,1.323942775232684e-17,1.323942775232684e-17,1.323942775232684e-17,1.323942775232684e-17,1.3239427752326841e-17,1.323942775232684e-17,1.3239427752326837e-17,1.3239427752326838e-17,1.323942775232684e-17,1.3239427752326841e-17,1.3239427752326838e-17,1.3239427752326834e-17,1.3239427752326844e-17,1.3239427752326838e-17,1.323942775232684e-17,1.47607155167965e-38,5.448911084879284e-31,1.4399549906876564e-38,3.6661281328534024e-24,1.8
-0.009998532175663537,2.7163101699937288e-17,2.716310169993729e-17,2.716310169993729e-17,2.7163101699937297e-17,2.7163101699937294e-17,2.7163101699937297e-17,2.716310169993729e-17,2.716310169993729e-17,2.7163101699937297e-17,2.71631016999373e-17,2.7163101699937288e-17,2.716310169993729e-17,2.7163101699937297e-17,2.71631016999373e-17,2.7163101699937294e-17,2.7163101699937282e-17,2.71631016999373e-17,2.716310169993729e-17,2.7163101699937294e-17,2.316380425805352e-37,4.472379664776559e-30,1.5891586433290688e-37,1.5386416571342463e-23,1.8
-0.00999703098062443,5.480076500109513e-17,5.4800765001095144e-17,5.480076500109513e-17,5.480076500109514e-17,5.480076500109514e-17,5.4800765001095144e-17,5.4800765001095144e-17,5.480076500109512e-17,5.480076500109515e-17,5.4800765001095157e-17,5.480076500109513e-17,5.480076500109513e-17,5.480076500109514e-17,5.480076500109519e-17,5.480076500109513e-17,5.4800765001095114e-17,5.480076500109515e-17,5.4800765001095126e-17,5.480076500109513e-17,3.742411285777856e-36,3.6394790954078125e-29,1.9778881298574886e-36,6.282246281650783e-23,1.8
-0.009993944570106024,1.1117236422715012e-16,1.111723642271503e-16,1.1117236422715012e-16,1.1117236422715014e-16,1.1117236422715017e-16,1.1117236422715017e-16,1.111723642271502e-16,1.1117236422715014e-16,1.1117236422715027e-16,1.1117236422715022e-16,1.1117236422715022e-16,1.1117236422715014e-16,1.111723642271502e-16,1.1117236422715056e-16,1.1117236422715017e-16,1.111723642271501e-16,1.1117236422715017e-16,1.1117236422715012e-16,1.1117236422715014e-16,6.475631370462958e-35,3.0831337974451125e-28,2.893955523598259e-35,2.6110878425455955e-22,1.8
