names,values
tdouble_pos,37.4
tdouble_neg,24.0
tau,1.0
DAR,2.0
ic50_pl,0.0271
k_kill_max,0.032
k_PL,0.0
k_PL_ex,0.0
Rcopies,1.1e6
k_deg,0.4572
k_rec,0.0864
k_endo,0.15
k_on,2070.0
Kd,0.00057
k_out,8.24
k_in,5.0
k_lys,2.4
V_medium,0.0001
Nmax,1.0e7
