PS_kd,DAR,k_out,cmax,cavg,time
0.001,1,0.001,91.55350761395243,65.20021382914848,504.0
0.001,1,0.001584893192461114,74.37745685640182,55.29619399187586,504.0
0.001,1,0.0025118864315095794,58.29709560384652,43.92552004065373,504.0
0.001,1,0.003981071705534973,44.102618434269864,32.51138516500159,504.0
0.001,1,0.00630957344480193,32.252243791650415,22.654835289056496,504.0
0.001,1,0.010000000000000002,22.856006717166853,15.217430044921255,504.0
0.001,1,0.015848931924611134,15.77368673070637,10.08172142175707,504.0
0.001,1,0.025118864315095794,10.699777977125475,6.6813240777538505,504.0
0.001,1,0.039810717055349734,7.2164641499072095,4.461785191813937,504.0
0.001,1,0.06309573444801933,4.884130718028479,3.011151147337451,504.0
0.001,1,0.1,3.3274820704308548,2.051009007508881,504.0
0.001,1,0.15848931924611134,2.274375983332271,1.4026448678303132,504.0
0.001,1,0.251188643150958,1.5492090279436168,0.9560850681156092,504.0
0.001,1,0.39810717055349726,1.0450138084599354,0.6453337516554601,504.0
0.001,1,0.6309573444801932,0.6956216494084341,0.42980511581450564,504.0
0.001,1,1.0,0.4568325586909708,0.28238018024686345,504.0
0.001,1,1.5848931924611136,0.2965290058551034,0.1833503922081038,504.0
0.001,1,2.51188643150958,0.19074997809384248,0.1179693923508236,504.0
0.001,1,3.9810717055349722,0.12190912875081586,0.07540562455505244,504.0
0.001,1,6.309573444801933,0.07756538594474095,0.04798191063023888,504.0
0.001,1,10.0,0.04920482416450891,0.030440012926079188,504.0
0.001,1,15.848931924611133,0.03115327372394451,0.019273412161769983,504.0
0.001,1,25.118864315095795,0.01969951809844512,0.012187702958951864,504.0
0.001,1,39.810717055349734,0.012446849420487282,0.007700747704759876,504.0
0.001,1,63.09573444801933,0.007860346997230294,0.0048631732072098414,504.0
0.001,1,100.0,0.004962304823736964,0.00307018355277653,504.0
0.001,1,158.48931924611142,0.003132103893934713,0.00193784431503401,504.0
0.001,1,251.18864315095797,0.0019766628585714714,0.001222971892827822,504.0
0.001,1,398.1071705534973,0.0012473648042429706,0.0007717525715405991,504.0
0.001,1,630.957344480193,0.0007871036275314133,0.00048698655492441525,504.0
0.001,1,1000.0,0.0004966565479902518,0.00030728510686279853,504.0
0.001,2,0.001,183.1070152305482,130.4004276598427,504.0
0.001,2,0.001584893192461114,148.7549137152141,110.59238798517903,504.0
0.001,2,0.0025118864315095794,116.5941912095774,87.85104008256042,504.0
0.001,2,0.003981071705534973,88.2052368699252,65.02277033085312,504.0
0.001,2,0.00630957344480193,64.5044875843827,45.309670578605896,504.0
0.001,2,0.010000000000000002,45.712013434917964,30.434860090112057,504.0
0.001,2,0.015848931924611134,31.54737346174697,20.163442843755178,504.0
0.001,2,0.025118864315095794,21.39955595425579,13.362648155695801,504.0
0.001,2,0.039810717055349734,14.432928299948207,8.923570383734107,504.0
0.001,2,0.06309573444801933,9.768261436163554,6.022302294755752,504.0
0.001,2,0.1,6.654964140820461,4.102018014991504,504.0
0.001,2,0.15848931924611134,4.54875196664243,2.8052897356419115,504.0
0.001,2,0.251188643150958,3.098418055868102,1.912170136220451,504.0
0.001,2,0.39810717055349726,2.0900276168940612,1.2906675032806771,504.0
0.001,2,0.6309573444801932,1.3912432988059666,0.8596102316247382,504.0
0.001,2,1.0,0.9136651173831019,0.5647603604924599,504.0
0.001,2,1.5848931924611136,0.5930580117131785,0.3667007844202167,504.0
0.001,2,2.51188643150958,0.38149995618695254,0.23593878470274743,504.0
0.001,2,3.9810717055349722,0.2438182575020828,0.1508112491106375,504.0
0.001,2,6.309573444801933,0.1551307718890879,0.09596382126050494,504.0
0.001,2,10.0,0.0984096483279796,0.0608800258510799,504.0
0.001,2,15.848931924611133,0.06230654744749555,0.03854682432341948,504.0
0.001,2,25.118864315095795,0.03939903619697091,0.02437540591833373,504.0
0.001,2,39.810717055349734,0.02489369884090201,0.01540149540909119,504.0
0.001,2,63.09573444801933,0.0157206939944527,0.009726346414345718,504.0
0.001,2,100.0,0.009924609647495536,0.006140367105629003,504.0
0.001,2,158.48931924611142,0.006264207787954512,0.0038756886303123184,504.0
0.001,2,251.18864315095797,0.003953325717093174,0.0024459437854650176,504.0
0.001,2,398.1071705534973,0.0024947296084829153,0.0015435051429828217,504.0
0.001,2,630.957344480193,0.001574207255075356,0.0009739731099790836,504.0
0.001,2,1000.0,0.000993313095991874,0.0006145702137859627,504.0
0.001,4,0.001,366.21403045881135,260.80085531836806,504.0
0.001,4,0.001584893192461114,297.5098274278688,221.18477596884557,504.0
0.001,4,0.0025118864315095794,233.18838241272653,175.702080160771,504.0
0.001,4,0.003981071705534973,176.41047373510384,130.0455406587401,504.0
0.001,4,0.00630957344480193,129.00897516507902,90.61934115551547,504.0
0.001,4,0.010000000000000002,91.42402686762826,60.86972017917796,504.0
0.001,4,0.015848931924611134,63.09474692234058,40.32688568667524,504.0
0.001,4,0.025118864315095794,42.79911190849316,26.72529631075827,504.0
0.001,4,0.039810717055349734,28.865856599047934,17.84714076681263,504.0
0.001,4,0.06309573444801933,19.536522871888117,12.044604589174309,504.0
0.001,4,0.1,13.309928281642463,8.204036029979358,504.0
0.001,4,0.15848931924611134,9.097503933287738,5.610579471280207,504.0
0.001,4,0.251188643150958,6.1968361117369914,3.8243402724284605,504.0
0.001,4,0.39810717055349726,4.180055233814077,2.5813350065926075,504.0
0.001,4,0.6309573444801932,2.7824865976338127,1.7192204632599077,504.0
0.001,4,1.0,1.827330234744777,1.1295207209762193,504.0
0.001,4,1.5848931924611136,1.1861160234233514,0.7334015688340367,504.0
0.001,4,2.51188643150958,0.7629999123828408,0.4718775694083993,504.0
0.001,4,3.9810717055349722,0.4876365149983812,0.30162249821942416,504.0
0.001,4,6.309573444801933,0.31026154377937554,0.19192764252039202,504.0
0.001,4,10.0,0.19681929665487527,0.12176005170081457,504.0
0.001,4,15.848931924611133,0.12461309489616401,0.07709364864829617,504.0
