time_hr,adc_plasma_uM,pl_liver_uM,dose_mgkg
0.0,2.1258789046385028e-13,3.360041462658933e-17,4.8
0.0,2.1258789046385028e-13,3.360041462658933e-17,4.8
0.1,0.5307215176911996,1.3636134409207504e-6,4.8
0.1,0.5307215176911996,1.3636134409207504e-6,4.8
0.24,0.49213128007208773,1.2601164978475341e-5,4.8
0.49,0.4859545765794234,5.4057673611998837e-5,4.8
0.74,0.4821213761017272,0.00011456865749492587,4.8
0.99,0.4785631378886411,0.00018840974096579277,4.8
1.24,0.47517044016440313,0.0002713634821122091,4.8
1.49,0.4719180365565637,0.00036073452936337587,4.8
1.74,0.46878652507254376,0.0004550454048270416,4.8
1.99,0.4657597544888652,0.0005535097132748995,4.8
2.24,0.4628246644024274,0.0006556775144964122,4.8
2.49,0.45997085784122754,0.0007612519530204126,4.8
2.74,0.45719008739535266,0.0008700036807547181,4.8
2.99,0.45447578139203976,0.0009817330167785844,4.8
3.24,0.45182265364805313,0.0010962532289681961,4.8
3.49,0.44922639191093167,0.0012133840954900057,4.8
3.74,0.44668342788131143,0.0013329492688106662,4.8
3.99,0.44419075572796773,0.0014547756309471736,4.8
4.24,0.44174579948544695,0.0015786934937629259,4.8
4.49,0.43934632045439437,0.0017045367054678733,4.8
4.74,0.43699034224834454,0.001832143208314772,4.8
4.99,0.434676094423608,0.0019613552427118017,4.8
5.24,0.43240197223025567,0.002092019717350672,4.8
5.49,0.4301665073336115,0.002223988468133564,4.8
5.74,0.4279683484149181,0.002357118325355783,4.8
5.99,0.42580623985586724,0.0024912712578230244,4.8
6.24,0.42367900732363895,0.0026263144393203924,4.8
6.49,0.4215855480888391,0.0027621202671120437,4.8
6.74,0.41952482344432257,0.002898566347071416,4.8
6.99,0.41749585036689696,0.0030355354267677503,4.8
7.24,0.4154977004627307,0.0031729154036789,4.8
7.49,0.4135294901931502,0.0033105992273998637,4.8
7.74,0.41159037806821086,0.0034484847196313948,4.8
7.99,0.409679562241236,0.0035864745096596097,4.8
8.24,0.40779627760103276,0.003724476014586228,4.8
8.49,0.4059397929212587,0.0038624012434050623,4.8
8.74,0.40410940842961596,0.004000166616081825,4.8
8.99,0.40230445298846873,0.0041376927956483355,4.8
9.24,0.4005242865920628,0.0042749049137661786,4.8
9.49,0.3987682925617945,0.004411732003273132,4.8
9.74,0.397035879269601,0.004548106896068855,4.8
9.99,0.39532647985585684,0.0046839665664308435,4.8
10.24,0.3936395471150451,0.0048192513047618105,4.8
10.49,0.3919745557487587,0.004953905037712381,4.8
10.74,0.39033100047533864,0.005087875215353291,4.8
10.99,0.38870839314197075,0.005221112268706882,4.8
11.24,0.3871062640799513,0.005353569909496388,4.8
11.49,0.38552416089711505,0.005485204965029817,4.8
11.74,0.3839616456037603,0.005615976840453515,4.8
11.99,0.38241829747436806,0.005745848164490794,4.8
12.24,0.3808937077411251,0.005874783693590103,4.8
12.49,0.3793874832769654,0.006002751172914185,4.8
12.74,0.377899242115972,0.006129720360371739,4.8
12.99,0.3764286153228235,0.006255663529948986,4.8
13.24,0.3749752458250587,0.006380555114448591,4.8
13.49,0.37353878693908316,0.006504371554732728,4.8
13.74,0.37211890420030774,0.006627091486668173,4.8
13.99,0.37071527168418805,0.006748695209060092,4.8
14.24,0.3693275751366375,0.006869165170858655,4.8
14.49,0.36795550769988067,0.006988485177564028,4.8
14.74,0.36659877322325973,0.007106641039980831,4.8
14.99,0.36525708247967453,0.007223619795264912,4.8
15.24,0.36393015556946096,0.007339410182730356,4.8
15.49,0.3626177195940777,0.007454002225023359,4.8
15.74,0.3613195107401371,0.007567387539570774,4.8
15.99,0.3600352691987476,0.007679558433120094,4.8
16.24,0.3587647462003811,0.007790509133745819,4.8
16.49,0.3575076958792447,0.007900234371742773,4.8
16.74,0.3562638812332751,0.008008730347696818,4.8
16.99,0.3550330707555225,0.008115994172025345,4.8
17.24,0.35381503753086774,0.008222023707420843,4.8
17.49,0.3526095631489263,0.008326818181787205,4.8
17.74,0.35141643137836787,0.00843037712973715,4.8
17.99,0.35023543408707575,0.008532701286268677,4.8
18.24,0.3490663664998894,0.00863379194306841,4.8
18.49,0.3479090291714473,0.00873365115422869,4.8
18.74,0.34676322814017746,0.008832281708236526,4.8
18.99,0.345628772227225,0.008929686803615585,4.8
19.24,0.34450547708094986,0.009025870538288305,4.8
19.49,0.3433931601110209,0.009120837221168764,4.8
19.74,0.34229164487295116,0.009214591953423319,4.8
19.99,0.3412007581140913,0.009307140175871205,4.8
20.24,0.3401203295617342,0.009398487721770514,4.8
20.49,0.33905019482393717,0.009488641058003554,4.8
20.74,0.33799019069845343,0.009577606760561333,4.8
20.99,0.3369401592661171,0.009665391979215657,4.8
21.24,0.33589994554403957,0.009752004116873356,4.8
21.49,0.3348693968475732,0.009837450822680664,4.8
21.74,0.3338483656300969,0.00992174018022463,4.8
21.99,0.3328367054086534,0.010004880352572795,4.8
22.24,0.3318342740760581,0.0100868798974256,4.8
22.49,0.33084093223760497,0.010167747515606134,4.8
22.74,0.32985654233591205,0.010247492079328884,4.8
22.99,0.3288809713264526,0.010326122748332963,4.8
23.24,0.32791408711355075,0.010403648718533762,4.8
23.49,0.32695576126495207,0.010480079434351504,4.8
23.74,0.32600586787923946,0.010555424428047609,4.8
23.99,0.32506428219729167,0.010629693338445694,4.8
24.24,0.3241308842061343,0.010702895986152957,4.8
24.49,0.3232055551074355,0.010775042190469365,4.8
24.74,0.32228817662236753,0.010846141826057682,4.8
